Delta,Theta,Alpha,Beta,Y
1.5069E+05,1.4877E+04,3.795E+03,2.292E+03,0E+00
1.8823E+04,6.577E+03,1.0996E+04,7.642E+03,0E+00
3.41908E+05,3.3036E+04,3.0789E+04,5.032E+03,0E+00
8.588E+03,4.716E+03,3.32E+03,1.5884E+04,0E+00
2.56616E+05,9.4368E+04,9.804E+03,2.1725E+04,0E+00
2.2853E+04,2.8961E+04,1.5257E+04,9.137E+03,0E+00
8.661E+03,9.095E+03,1.3028E+04,1.9006E+04,0E+00
9.1553E+04,2.3931E+04,4.921E+03,2.296E+03,0E+00
5.8003E+05,1.48325E+05,7.4965E+04,3.5966E+04,0E+00
1.30837E+05,1.4436E+04,2.265E+03,2.396E+03,0E+00
3.36749E+05,9.8427E+04,5.398E+03,1.4124E+04,0E+00
4.9279E+04,2.8636E+04,1.0777E+04,1.1151E+04,0E+00
9.5437E+04,1.0987E+04,2.892E+03,1.401E+03,0E+00
1.23433E+05,5.574E+03,1.187E+03,7.27E+03,0E+00
7.108E+04,1.9794E+04,7.458E+03,1.9058E+04,0E+00
7.4424E+04,1.7236E+04,1.5576E+04,2.2499E+04,0E+00
5.886E+04,3.7401E+04,1.6918E+04,2.6403E+04,0E+00
9.0015E+04,7.9586E+04,8.334E+03,2.1724E+04,0E+00
8.75E+03,7.072E+03,6.765E+03,6.611E+03,0E+00
2.01217E+05,6.587E+03,1.702E+03,1.257E+03,0E+00
4.21E+03,1.735E+04,3.735E+03,8.083E+03,0E+00
2.8452E+04,1.945E+03,2.0942E+04,1.0248E+04,0E+00
2.34771E+05,3.6139E+04,6.234E+03,1.3457E+04,0E+00
1.5374E+04,1.226E+04,6.754E+03,2.2124E+04,0E+00
2.29E+03,1.0386E+04,1.1038E+04,1.3794E+04,0E+00
1.80405E+05,1.0058E+04,6.596E+03,8.674E+03,0E+00
9.1061E+04,2.5916E+04,8.048E+03,3.602E+03,0E+00
2.444E+03,3.1376E+04,5.928E+03,1.8689E+04,0E+00
2.26325E+05,3.8577E+04,8.621E+03,2.7438E+04,0E+00
1.18368E+05,8.1821E+04,1.2732E+04,1.1768E+04,0E+00
6.8646E+04,7.2933E+04,5.92E+03,1.1564E+04,0E+00
7.8277E+04,5.1955E+04,6.472E+03,6.305E+03,0E+00
2.42073E+05,1.36113E+05,1.3608E+04,2.1984E+04,0E+00
1.91409E+05,3.5892E+04,1.3636E+04,6.434E+03,0E+00
5.247E+03,1.9363E+04,4.172E+03,4.894E+03,0E+00
1.16823E+05,5.6636E+04,7.451E+03,2.1773E+04,0E+00
3.94683E+05,8.7005E+04,1.813E+03,3.258E+03,0E+00
1.0309E+05,1.21688E+05,2.9001E+04,1.5391E+04,0E+00
3.24348E+05,1.39729E+05,2.0064E+04,1.0331E+04,0E+00
1.9068E+04,1.3035E+04,7.706E+03,1.2924E+04,0E+00
3.06695E+05,6.3394E+04,2.697E+03,6.966E+03,0E+00
7.97316E+05,2.7368E+04,5.775E+03,1.9576E+04,0E+00
4.1953E+04,5.5404E+04,1.4562E+04,6.794E+03,0E+00
3.5567E+04,2.9703E+04,8.135E+03,1.5414E+04,0E+00
1.47162E+05,1.7452E+04,1.902E+03,1.71E+03,0E+00
2.38338E+05,8.426E+04,2.58E+04,2.3783E+04,0E+00
5.29E+03,1.7561E+04,8.723E+03,4.45E+03,0E+00
1.0372E+04,1.9895E+04,2.26E+03,1.8461E+04,0E+00
8.669E+03,9.611E+03,3.755E+03,9.852E+03,0E+00
1.58064E+05,4.969E+04,2.6428E+04,4.899E+03,0E+00
5.655E+03,3.495E+03,8.717E+03,1.2292E+04,0E+00
4.53092E+05,4.242E+04,4.002E+03,2.331E+03,0E+00
7.071E+03,1.3836E+04,6.204E+03,5.014E+03,0E+00
1.89432E+05,9.3096E+04,5.6068E+04,1.8651E+04,0E+00
1.2813E+04,1.9064E+04,2.0174E+04,1.0252E+04,0E+00
3.56574E+05,2.8199E+04,5.572E+04,8.058E+03,0E+00
4.98323E+05,1.11289E+05,6.538E+03,6.092E+03,0E+00
3.43853E+05,1.03026E+05,6.198E+03,2.1356E+04,0E+00
3.49601E+05,1.044E+05,2.5953E+04,2.513E+04,0E+00
3.54627E+05,3.0185E+04,1.2524E+04,9.053E+03,0E+00
5.64242E+05,1.40222E+05,3.1154E+04,3.0095E+04,0E+00
6.55645E+05,9.0881E+04,5.1657E+04,1.024E+04,0E+00
1.62741E+05,1.4524E+04,8.462E+03,3.479E+03,0E+00
1.27555E+05,4.4482E+04,2.1549E+04,3.5485E+04,0E+00
6.21932E+05,1.19673E+05,1.849E+04,1.6178E+04,0E+00
2.521371E+06,4.33788E+05,2.28893E+05,1.08535E+05,0E+00
4.82325E+05,6.062E+03,5.419E+03,1.904E+03,0E+00
2.19715E+06,3.10845E+05,7.8556E+04,2.3904E+04,0E+00
1.44623E+05,7.6003E+04,3.1174E+04,1.4408E+04,0E+00
7.48194E+05,1.19448E+05,1.5397E+04,5.25E+03,0E+00
1.139671E+06,1.15395E+05,1.47609E+05,1.5904E+04,0E+00
2.723077E+06,2.69807E+05,3.6989E+04,7.5587E+04,0E+00
8.11696E+05,1.55624E+05,1.21384E+05,2.2563E+04,0E+00
1.052039E+06,1.44155E+05,4.8221E+04,1.9691E+04,0E+00
2.251456E+06,5.7861E+05,3.7462E+04,3.5198E+04,0E+00
2.514836E+06,8.9905E+04,4.2659E+04,5.529E+04,0E+00
1.827581E+06,1.69756E+05,5.56251E+05,5.19E+04,0E+00
2.030223E+06,2.93889E+05,1.24693E+05,4.8841E+04,0E+00
9.46374E+05,1.34512E+05,3.2208E+04,4.27E+03,0E+00
7.35302E+05,1.35645E+05,1.4433E+04,8E+03,0E+00
2.00439E+06,1.031826E+06,1.25083E+05,7.7074E+04,0E+00
5.00702E+05,1.34751E+05,4.368E+03,3.5046E+04,0E+00
9.3861E+04,5.4928E+04,2.4251E+04,3.551E+03,0E+00
1.960707E+06,3.12717E+05,1.97014E+05,3.2096E+04,0E+00
2.708043E+06,5.0736E+05,1.09523E+05,5.0581E+04,0E+00
1.000754E+06,1.40243E+05,2.8477E+04,4.164E+03,0E+00
1.055442E+06,5.46016E+05,5.8607E+04,1.12E+04,0E+00
1.85049E+06,2.56988E+05,8.0487E+04,6.509E+04,0E+00
1.07034E+06,1.28811E+05,5.4004E+04,9.19E+03,0E+00
1.136743E+06,7.523E+04,5.818E+04,2.8324E+04,0E+00
1.488E+05,1.4999E+04,6.717E+03,3.813E+03,0E+00
1.77702E+05,8.0465E+04,1.0347E+04,6.486E+03,0E+00
6.58847E+05,5.4472E+04,8.759E+03,1.134E+04,0E+00
6.49385E+05,8.7338E+04,3.157E+03,6.734E+03,0E+00
1.9937E+05,8.8345E+04,1.1875E+04,5.622E+03,0E+00
4.81555E+05,2.04302E+05,2.522E+04,4.9244E+04,0E+00
1.259232E+06,8.3364E+05,9.549E+04,3.3732E+04,0E+00
7.44091E+05,3.37196E+05,5.143E+03,2.3705E+04,0E+00
1.038445E+06,1.99679E+05,3.74E+02,2.3214E+04,0E+00
5.87813E+05,2.76755E+05,4.7356E+04,1.8425E+04,1E+00
2.6481E+05,7.319E+03,1.347E+03,1.754E+03,1E+00
1.817666E+06,2.59465E+05,2.2213E+04,6.9577E+04,1E+00
8.21687E+05,1.43836E+05,3.3747E+04,4.0563E+04,1E+00
2.42816E+05,1.46001E+05,5.0443E+04,9.57E+03,1E+00
9.59252E+05,1.12919E+05,6.242E+03,6.31E+03,1E+00
9.22691E+05,3.33224E+05,1.84451E+05,1.3783E+04,1E+00
1.69733E+05,5.2272E+04,1.2774E+04,5.475E+03,1E+00
1.202987E+06,1.61495E+05,7.7222E+04,2.0339E+04,1E+00
3.3577E+04,1.1125E+04,7.648E+03,6.48E+02,1E+00
6.3133E+04,1.2756E+04,1.2818E+04,2.044E+03,1E+00
6.76343E+05,8.26317E+05,7.6939E+04,6.274E+04,1E+00
1.162415E+06,6.495E+05,1.29777E+05,9.069E+04,1E+00
2.88236E+05,1.21E+02,2.5E+01,6.94E+02,1E+00
7.4528E+04,4.4871E+04,2.788E+03,9.92E+02,1E+00
5.45366E+05,1.60277E+05,3.0434E+05,2.2182E+04,1E+00
2.98313E+05,2.34443E+05,2.7649E+04,1.2836E+04,1E+00
1.82939E+05,1.00926E+05,8.75E+02,2.3134E+04,1E+00
3.79931E+05,9.1727E+04,7.973E+03,1.2517E+04,1E+00
4.3644E+04,3.3058E+04,4.27E+03,1.914E+03,1E+00
3.98425E+05,8.4511E+04,3.4219E+04,1.8914E+04,1E+00
4.43092E+05,7.2962E+04,3.705E+04,2.9177E+04,1E+00
1.082479E+06,2.1918E+04,3.74E+03,6.225E+03,1E+00
1.068753E+06,2.62454E+05,4.2871E+04,1.9254E+04,1E+00
1.9445E+05,2.9385E+04,1.8535E+04,3.559E+03,1E+00
6.10881E+05,1.70524E+05,2.5664E+04,2.386E+04,1E+00
1.69314E+05,3.3288E+04,6.966E+03,3.375E+03,1E+00
6.54419E+05,1.16539E+05,5.0959E+04,1.1432E+04,1E+00
1.131002E+06,3.00616E+05,5.297E+04,4.1347E+04,1E+00
2.92247E+05,6.4972E+04,9.82E+02,1.654E+03,1E+00
8.8054E+04,7.479E+03,1.452E+03,1.812E+03,1E+00
1.262195E+06,3.54375E+05,1.1297E+04,3.3118E+04,1E+00
1.22049E+06,4.23369E+05,9.5835E+04,3.8255E+04,1E+00
1.01383E+05,5.7893E+04,3.21E+03,3.6472E+04,1E+00
2.55715E+05,2.8712E+04,1.4734E+04,3.653E+03,1E+00
4.5825E+05,2.1843E+04,6.774E+03,3.937E+03,1E+00
4.9369E+04,3.5622E+04,1.383E+03,7.18E+02,1E+00
9.93562E+05,1.24854E+05,1.5999E+04,2.8511E+04,1E+00
2.58503E+05,2.9057E+05,5.2426E+04,3.8262E+04,1E+00
9.4366E+04,5.7081E+04,2.664E+03,2.51E+03,1E+00
2.4877E+05,2.47662E+05,1.38823E+05,2.3601E+04,1E+00
2.206606E+06,2.21162E+05,6.7257E+04,6.2384E+04,1E+00
1.39264E+05,2.9319E+04,1.009E+04,2.1991E+04,1E+00
7.35766E+05,1.58608E+05,8.6087E+04,3.4017E+04,1E+00
3.18032E+05,8.9032E+04,2.0928E+04,9.927E+03,1E+00
1.078285E+06,1.6225E+04,8.291E+03,4.196E+03,1E+00
2.40769E+05,4.54835E+05,3.1885E+04,8.178E+03,1E+00
2.311485E+06,1.39933E+05,3.2682E+04,1.3552E+04,1E+00
6.35374E+05,1.14038E+05,1.6095E+04,1.6733E+04,1E+00
5.57205E+05,6.6769E+04,2.1612E+04,1.7787E+04,1E+00
2.67453E+05,1.84135E+05,2.5709E+04,1.639E+04,1E+00
1.578372E+06,2.11963E+05,3.2371E+04,1.7628E+04,1E+00
3.3861E+05,1.11379E+05,4.459E+03,1.4254E+04,1E+00
2.561495E+06,1.08093E+05,6.0186E+04,2.7369E+04,1E+00
6.20989E+05,1.09861E+05,3.7278E+04,1.8989E+04,1E+00
1.619267E+06,7.7483E+04,6.8454E+04,2.7901E+04,1E+00
7.16119E+05,1.54465E+05,7.4192E+04,2.9154E+04,1E+00
3.37561E+05,1.19085E+05,3.263E+04,2.4543E+04,1E+00
6.82102E+05,1.09504E+05,1.7918E+04,1.3661E+04,1E+00
5.9299E+05,3.9088E+04,1.2492E+04,1.778E+03,1E+00
1.028511E+06,2.04681E+05,5.1497E+04,2.5237E+04,1E+00
3.77645E+05,2.50983E+05,4.9847E+04,1.6579E+04,1E+00
1.511816E+06,4.64244E+05,4.9478E+04,4.7575E+04,1E+00
3.61594E+05,5.7607E+04,9.1397E+04,4.539E+03,1E+00
3.88042E+05,2.0087E+04,1.4346E+04,4.024E+03,1E+00
2.288027E+06,1.09429E+05,9.8931E+04,4.0445E+04,1E+00
7.23623E+05,7.2046E+04,5.2744E+04,7.535E+03,1E+00
1.803415E+06,1.68946E+05,1.654E+04,1.6075E+04,1E+00
1.683654E+06,1.91088E+05,8.2872E+04,1.7686E+04,1E+00
1.020271E+06,6.4421E+04,2.2536E+04,8.987E+03,1E+00
3.39093E+05,3.40248E+05,2.936E+04,3.2236E+04,1E+00
2.99478E+05,2.14094E+05,1.6968E+04,3.987E+03,1E+00
2.6576E+05,6.1614E+04,4.673E+03,8.926E+03,1E+00
3.224853E+06,6.32673E+05,8.1694E+04,4.488E+04,1E+00
8.14434E+05,3.6478E+04,5.2762E+04,3.3132E+04,1E+00
5.01266E+05,1.24397E+05,1.179E+04,3.0225E+04,1E+00
6.09468E+05,2.08344E+05,2.64E+04,1.4868E+04,1E+00
5.39017E+05,5.20466E+05,4.8659E+04,1.8712E+04,1E+00
9.9011E+04,5.2648E+04,2.0434E+04,8.641E+03,1E+00
5.57661E+05,9.756E+04,6.846E+03,2.244E+04,1E+00
1.206062E+06,7.3226E+04,3.66E+03,9.518E+03,1E+00
5.64672E+05,1.4166E+04,7.096E+03,5.627E+03,1E+00
7.47531E+05,4.29929E+05,2.6951E+04,1.1404E+04,1E+00
8.63283E+05,5.7182E+05,6.5454E+04,4.0195E+04,1E+00
1.240833E+06,1.7158E+05,9.3214E+04,2.0174E+04,1E+00
5.85832E+05,2.47339E+05,3.3617E+04,2.1322E+04,1E+00
1.23074E+06,1.65605E+05,2.6158E+04,1.9701E+04,1E+00
1.152797E+06,5.96751E+05,3.1288E+04,2.0244E+04,1E+00
6.93655E+05,3.88761E+05,4.2547E+04,2.4668E+04,1E+00
1.314046E+06,3.6097E+04,1.3028E+04,3.8636E+04,1E+00
9.06115E+05,3.5721E+04,9.248E+03,3.593E+03,1E+00
3.07411E+05,7.41874E+05,4.955E+03,3.3489E+04,1E+00
1.13447E+06,1.56265E+05,7.8965E+04,7.883E+03,1E+00
1.303918E+06,1.70981E+05,6.8438E+04,5.5637E+04,1E+00
1.995158E+06,9.5757E+04,3.314E+04,4.9735E+04,1E+00
1.057077E+06,8.5253E+04,2.3782E+04,2.9616E+04,1E+00
9.83561E+05,4.08268E+05,7.3047E+04,1.4162E+04,1E+00
8.58523E+05,1.7381E+04,8.223E+03,5.337E+03,1E+00
2.069695E+06,2.23964E+05,1.1762E+04,4.1416E+04,1E+00
5.54161E+05,1.06207E+05,6.868E+03,3.1749E+04,1E+00
6.89724E+05,6.2806E+04,2.9248E+04,2.4013E+04,1E+00
1.291215E+06,6.383E+05,2.999E+04,5.6159E+04,1E+00
1.719844E+06,7.6689E+04,1.4608E+04,2.7039E+04,1E+00
1.575458E+06,2.37953E+05,5.693E+03,5.7734E+04,1E+00
1.32968E+05,1.13111E+05,5.5545E+04,6.927E+03,1E+00
1.519635E+06,7.6825E+04,7.5922E+04,3.7803E+04,1E+00
8.9E+04,1.1385E+04,1.978E+03,1.392E+03,1E+00
5.70562E+05,4.5285E+04,1.8556E+04,1.459E+04,1E+00
2.265864E+06,1.53168E+05,4.8422E+04,5.7577E+04,1E+00
2.12076E+05,2.1114E+04,1.7835E+04,1.3397E+04,1E+00
2.76346E+05,1.0235E+04,3.729E+03,1.1462E+04,1E+00
9.54237E+05,1.04706E+05,8.562E+04,4.1829E+04,1E+00
4.58519E+05,6.869E+03,1.475E+03,1.0522E+04,1E+00
3.31824E+05,5.6589E+04,4.705E+03,2.6361E+04,1E+00
6.14483E+05,1.32021E+05,4.2789E+04,3.4643E+04,1E+00
7.75495E+05,1.09467E+05,5.6108E+04,1.0541E+04,1E+00
5.21186E+05,2.56E+05,1.1994E+05,4.4827E+04,1E+00
2.67524E+05,3.41793E+05,3.6204E+04,2.7945E+04,1E+00
6.07486E+05,5.80457E+05,9.6042E+04,3.0794E+04,1E+00
3.73095E+05,3.0901E+04,2.8269E+04,1.7949E+04,1E+00
3.07985E+05,8.747E+03,6.416E+03,2.916E+03,1E+00
1.402862E+06,5.4725E+04,1.92E+03,7.149E+03,1E+00
3.17402E+05,6.1957E+04,6.916E+04,3.6534E+04,1E+00
1.616326E+06,3.0272E+05,3.1402E+04,6.7674E+04,1E+00
1.175382E+06,5.8708E+04,1.1519E+04,7.594E+03,1E+00
3.60184E+05,2.2452E+05,4.7677E+04,2.1971E+04,1E+00
5.98258E+05,5.7377E+04,5.344E+03,6.207E+03,1E+00
5.49453E+05,5.1953E+04,1.6352E+04,3.2285E+04,1E+00
8.0266E+04,9.265E+03,1.709E+03,1.422E+03,1E+00
2.52133E+05,1.33048E+05,2.3953E+04,2.8158E+04,1E+00
1.5831E+04,6.7143E+04,1.2999E+04,1.1209E+04,1E+00
3.12566E+05,9.6522E+04,6.582E+03,4.0151E+04,1E+00
2.53613E+05,6.189E+04,2.5406E+04,2.1099E+04,1E+00
5.35618E+05,1.65093E+05,1.163E+03,2.5952E+04,1E+00
2.31002E+05,2.00732E+05,5.391E+03,6.965E+03,1E+00
4.99908E+05,4.213E+04,3.6219E+04,1.39036E+05,1E+00
2.51771E+05,1.8081E+04,5.946E+03,1.848E+03,1E+00
8.44376E+05,1.30031E+05,7.796E+03,9.62E+03,1E+00
5.5394E+04,9.3813E+04,1.6215E+04,1.5376E+04,1E+00
9.8828E+04,3.5851E+04,1.396E+03,8.253E+03,1E+00
1.18962E+05,3.5777E+04,3.854E+03,1.273E+04,1E+00
6.1533E+04,1.7993E+04,4.553E+03,1.734E+03,1E+00
1.135427E+06,4.02497E+05,4.6213E+04,7.967E+03,1E+00
2.35695E+05,1.02525E+05,1.456E+03,1.1505E+04,1E+00
2.848708E+06,3.97971E+05,5.2378E+04,1.3967E+04,1E+00
1.86107E+05,7.8223E+04,1.4794E+04,7.364E+03,1E+00
2.036643E+06,2.5755E+04,3.076E+04,1.5675E+04,1E+00
7.10161E+05,6.4002E+04,1.0121E+04,2.594E+03,1E+00
1.6873E+05,5.4384E+04,6.0865E+04,1.0014E+04,1E+00
1.985144E+06,2.83779E+05,1.9638E+04,2.6001E+04,1E+00
9.04196E+05,1.5217E+05,4.9441E+04,2.4169E+04,1E+00
2.47297E+05,8.311E+03,5.48E+02,1.209E+03,1E+00
1.008129E+06,1.98877E+05,5.6904E+04,7.0149E+04,1E+00
8.23893E+05,5.6692E+04,8.4799E+04,2.4657E+04,1E+00
4.64677E+05,3.09655E+05,5.5752E+04,2.8579E+04,1E+00
1.33515E+05,5.862E+03,2.644E+03,2.226E+03,1E+00
8.67617E+05,5.533E+04,6.407E+03,5.406E+03,1E+00
9.299E+05,1.96222E+05,2.1439E+04,2.3135E+04,1E+00
1.15336E+06,7.83611E+05,1.9839E+04,1.1677E+04,1E+00
1.27002E+05,4.5875E+04,9.664E+03,5.377E+03,1E+00
2.75129E+05,8.9135E+04,5.426E+03,5.094E+03,1E+00
2.97824E+06,1.59306E+05,1.3208E+04,8.3776E+04,1E+00
4.51504E+05,2.325E+04,2.4578E+04,2.16E+04,1E+00
4.94782E+05,2.8798E+04,1.0638E+04,5.385E+03,1E+00
3.39338E+05,1.3943E+04,2.3612E+04,2.1081E+04,1E+00
4.86083E+05,1.09325E+05,1.3794E+04,1.1184E+04,1E+00
5.49681E+05,1.06439E+05,1.1864E+04,1.6751E+04,1E+00
2.50803E+05,4.8691E+04,1.8692E+04,8.448E+03,1E+00
6.14219E+05,1.3814E+05,7.5529E+04,1.87E+04,1E+00
2.04178E+05,1.73732E+05,3.2735E+04,2.0264E+04,1E+00
9.07536E+05,4.0438E+04,9.688E+03,1.8222E+04,1E+00
3.36364E+05,2.9034E+04,1.6584E+04,8.153E+03,1E+00
7.19432E+05,1.3647E+05,2.2849E+04,5.7671E+04,1E+00
5.17832E+05,1.9065E+05,3.0935E+04,4.0893E+04,1E+00
3.02262E+05,1.21967E+05,3.791E+04,3.1155E+04,1E+00
3.99229E+05,3.2563E+04,2.2532E+04,3.3816E+04,1E+00
1.125317E+06,5.6245E+04,7.02E+03,2.52E+03,1E+00
3.3816E+04,1.7018E+04,1.4135E+04,3.7769E+04,1E+00
5.08249E+05,2.69159E+05,3.7315E+04,1.8574E+04,1E+00
8.92327E+05,4.16229E+05,3.477E+03,3.6956E+04,1E+00
2.05572E+05,1.35638E+05,2.1886E+04,2.1233E+04,1E+00
6.8627E+04,4.262E+03,5.972E+03,7.03E+03,1E+00
1.95743E+05,4.9887E+04,3.545E+03,1.5718E+04,1E+00
1.209174E+06,9.8934E+04,5.631E+03,3.8215E+04,1E+00
8.59875E+05,1.6968E+04,5.844E+03,1.4326E+04,1E+00
5.86117E+05,1.3389E+05,1.3188E+04,1.8809E+04,1E+00
1.97289E+05,1.06762E+05,1.6193E+04,5.375E+03,1E+00
5.3194E+05,2.14509E+05,2.9704E+04,2.6763E+04,1E+00
2.068566E+06,2.49309E+05,2.1132E+04,3.3639E+04,1E+00
1.091641E+06,1.32564E+05,5.3565E+04,2.2596E+04,1E+00
1.648631E+06,8.2781E+04,4.9654E+04,3.0366E+04,1E+00
3.55514E+05,1.02255E+05,1.2718E+04,2.1497E+04,1E+00
2.65331E+05,5.3495E+04,3.665E+03,4.43E+03,1E+00
2.7656E+05,5.3874E+04,2.4715E+04,2.4365E+04,1E+00
3.7179E+04,2.4734E+04,4.3774E+04,1.5269E+04,1E+00
1.98256E+05,8.2231E+04,2.868E+03,2.2988E+04,1E+00
3.6671E+04,2.0572E+04,1.9434E+04,2.498E+04,1E+00
2.051263E+06,3.1205E+04,2.407E+03,1.6344E+04,1E+00
2.9726E+05,1.15707E+05,3.7905E+04,5.812E+03,1E+00
9.17135E+05,6.8137E+04,1.183E+04,2.357E+04,1E+00
4.83189E+05,9.61497E+05,1.4292E+04,3.5208E+04,1E+00
4.42249E+05,2.36418E+05,5.4379E+04,2.8425E+04,1E+00
8.76316E+05,2.3899E+05,3.6845E+04,7.2128E+04,1E+00
5.97515E+05,1.66776E+05,3.4563E+04,1.8597E+04,1E+00
7.28149E+05,9.4283E+04,3.736E+04,1.4218E+04,1E+00
4.26515E+05,2.71559E+05,5.892E+03,1.1288E+04,1E+00
2.63737E+05,1.38787E+05,2.1711E+04,7.554E+03,1E+00
6.72813E+05,4.8948E+04,1.8336E+04,7.673E+03,1E+00
1.210141E+06,2.96242E+05,2.8873E+04,1.2554E+04,1E+00
9.8068E+04,1.84501E+05,2.3526E+04,2.1248E+04,1E+00
3.107198E+06,1.53275E+05,3.6732E+04,3.6105E+04,1E+00
1.9318E+05,5.63802E+05,1.46913E+05,6.3878E+04,1E+00
2.92138E+05,9.0269E+04,6.8571E+04,4.8713E+04,1E+00
7.9924E+04,2.0508E+04,4.266E+03,4.327E+03,1E+00
1.56033E+05,3.6944E+04,5.542E+03,7.332E+03,1E+00
1.527858E+06,1.40602E+05,5.7784E+04,1.0505E+04,1E+00
4.1055E+05,2.29162E+05,2.011E+04,2.7246E+04,1E+00
1.7735E+04,1.5564E+04,3.999E+03,1.871E+03,1E+00
9.69095E+05,1.09319E+05,6.7826E+04,2.5169E+04,1E+00
1.71415E+05,9.8627E+04,6.469E+03,3.342E+03,1E+00
2.99578E+05,2.31825E+05,2.0258E+04,2.2994E+04,1E+00
3.62199E+05,3.91857E+05,3.5424E+04,2.5106E+04,1E+00
1.455843E+06,5.22663E+05,1.3216E+04,2.21211E+05,1E+00
1.983382E+06,8.77142E+05,4.00302E+05,8.1564E+04,1E+00
3.958185E+06,4.18117E+05,1.4031E+04,7.3362E+04,1E+00
1.805696E+06,7.9282E+04,3.164E+04,5.588E+03,1E+00
1.415457E+06,5.21535E+05,1.63758E+05,1.07312E+05,1E+00
6.72789E+05,3.30698E+05,3.8169E+04,5.2043E+04,1E+00
1.620852E+06,2.49405E+05,2.9986E+04,6.73E+03,1E+00
1.30005E+05,6.9985E+04,7.943E+03,1.2532E+04,1E+00
1.10571E+05,3.0764E+04,1.0149E+04,1.442E+03,1E+00
4.94873E+05,4.79917E+05,3.25402E+05,3.6042E+04,1E+00
2.72772E+06,4.18146E+05,9.7108E+04,8.1053E+04,1E+00
1.565518E+06,2.0775E+05,1.4342E+04,3.015E+04,1E+00
1.165858E+06,1.24675E+05,3.849E+04,8.588E+03,1E+00
3.29519E+05,2.16166E+05,1.12655E+05,5.4211E+04,1E+00
1.240023E+06,5.521E+04,4.13E+02,1.6591E+04,1E+00
3.33081E+05,1.35761E+05,3.688E+03,3.184E+03,1E+00
4.62407E+05,1.3741E+05,5.3466E+04,2.8435E+04,1E+00
7.04582E+05,3.6886E+05,2.9763E+04,1.1687E+04,1E+00
5.48809E+05,3.79837E+05,2.2643E+04,3.3399E+04,1E+00
3.9565E+04,2.3315E+04,4.45E+03,3.81E+03,1E+00
2.94779E+05,3.6988E+04,2.7042E+04,3.399E+03,1E+00
